baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	102.250621550122	0.808300889012971	0.241896187098958	3.34151975980631	0.000833210855584592	0.00367738352617775
AT1G01020	415.949200960202	0.486014467490741	0.137399883387541	3.53722620069421	0.000404353194020634	0.00193913272134669
AT1G03987	1.49416901047193	0.904980476619651	1.82112458962492	0.496934960834305	0.61923491667758	0.766046401320745
AT1G01030	48.5829495791768	1.67245953178432	0.474121673543315	3.52749014674927	0.000419519375104478	0.00200537299912816
AT1G01040	1044.91977777138	-0.611956525903033	0.168222429609339	-3.63778199687268	0.000274996031655688	0.0013754753120604
AT1G03993	0	NA	NA	NA	NA	NA
AT1G01046	5.07756140944818	-0.695935390560841	0.848064609849008	-0.820616003166017	0.411865029271469	0.584698897757752
AT1G01050	2055.71101819566	0.169479117219724	0.208586517532727	0.812512329293447	0.416497714857677	0.588937520631636
AT1G03997	0.144728720816787	0.928140521375411	4.40735632396697	0.210588945651667	0.833208038971933	NA
AT1G01060	1823.82188252104	-1.13089534416172	1.01157634389287	-1.11795352964629	0.263586841047424	0.427693514062274
AT1G01070	74.7871448941321	-0.177568155857678	0.505097336768013	-0.351552350273496	0.725174005636672	0.839743974890877
AT1G04003	0	NA	NA	NA	NA	NA
AT1G01080	2791.27381514477	0.237209890944112	0.144570223713469	1.64079355244168	0.100840277122669	0.208683809806286
AT1G01090	5940.94130420546	0.0297249945269486	0.304687036772594	0.0975591047187682	0.922282399243718	0.966428126450472
AT1G01100	7605.5697929269	1.05740690180158	0.169764315880184	6.22867589292366	4.70393772875823e-10	6.69242049591512e-09
AT1G01110	47.7430703956255	-1.00843114616283	0.315316096253458	-3.19815942841127	0.00138307793675838	0.00574399943722323
AT1G01120	1478.45498383582	-1.54055415255266	0.345501644723712	-4.45889093750797	8.23848247565421e-06	5.68583217566657e-05
AT1G01130	32.7513161600962	-0.0907699432654375	0.332680739108109	-0.272843999050816	0.784973135894767	0.879632470445843
AT1G01140	2123.90694109781	-0.855199928106244	0.28064050671699	-3.04731465215271	0.00230895873070363	0.00903539177186597
AT1G01150	3.45582035902702	-1.56427178956724	1.16455932457938	-1.34323065948763	0.179197296871804	0.32281951429816
AT1G01160	535.071935979733	0.346260310345173	0.207976715686561	1.66489940569605	0.0959328268142327	0.200613080859386
AT1G04007	14.4447146894732	-0.223007901758093	0.527118789437051	-0.423069536178477	0.672244528056997	0.804008941769046
AT1G01170	859.54990882503	-0.220169355024738	0.208300091804128	-1.05698155539831	0.290520005376954	0.457888374432061
AT1G04013	3.73316875272305	-1.30041499536591	0.99458937722025	-1.30748932690233	0.191046577412014	0.338390262534489
AT1G01180	141.22033424334	-1.90767151445492	0.306624493451481	-6.22152357426325	4.92350162497169e-10	6.98244904988806e-09
AT1G01183	0.65189467336313	-0.670034116265729	2.50362167899914	-0.267625944401306	0.788987258465262	NA
AT1G01190	99.185593387628	-0.0670246069766436	0.683128423495748	-0.0981142120154525	0.921841602420393	0.9660969549912
AT1G01200	33.2352438929425	0.459107351963343	0.43191844909618	1.06294915839797	0.287805008261545	0.454802723358908
AT1G01210	586.010368433013	1.63504056693414	0.247274656424389	6.61224482353732	3.78535270870052e-11	6.42642423571059e-10
AT1G04017	0	NA	NA	NA	NA	NA
AT1G01220	910.710391092702	-0.154663308862419	0.236353286095913	-0.65437342301074	0.51287125263078	0.677940628551857
AT1G04023	0	NA	NA	NA	NA	NA
AT1G01225	76.7294939604596	-0.133221861697867	0.238865645068934	-0.557727176126228	0.577030697381607	0.732804913875733
AT1G01230	462.502964497381	-0.760846033317966	0.227330986835626	-3.34686460437576	0.000817311193809678	0.00361311053511686
AT1G01240	510.950979917621	-4.29245429621145	0.328209398175036	-13.078401532921	4.37544605752057e-39	1.31399375319297e-36
AT1G01250	164.408911124856	1.38060314405003	0.39877510657742	3.46210964846671	0.000535958754496925	0.00248344691434219
AT1G01260	309.122277301979	-0.233980519161955	0.236524456961812	-0.989244504215191	0.322543528877579	0.493517177610669
AT1G01270	0.137778444665773	0	4.40735632396697	0	1	NA
AT1G01280	0	NA	NA	NA	NA	NA
AT1G01290	343.381401424686	-0.156936996729973	0.22516930705066	-0.69697330771047	0.485819498477015	0.654982476237591
AT1G01300	1386.00867955708	-0.221681567905686	0.27119961875401	-0.817411060252121	0.413693557145196	0.586283522762432
AT1G01305	4.9455668889283	0	3.74503020948638	0	1	1
AT1G01310	41.3059451472689	-0.587679935348341	1.10728858729401	-0.530737823989059	0.595600471322884	0.748305589903237
AT1G01320	15333.2957716988	1.06978895170856	0.278929198942067	3.83534228673833	0.000125389546624189	0.000678648780961849
AT1G01335	0.384881675469397	0	4.40735632394283	0	1	NA
AT1G01340	187.116345665042	0.278560958462815	0.594691198163155	0.468412781832346	0.639489429219882	0.780801801305063
AT1G01350	626.195656582684	0.316750302965548	0.234624262191538	1.35003217487783	0.17700566247102	0.319804620901908
AT1G01355	2.81702246556588	-1.75702174617679	1.33541703305725	-1.31571015097384	0.18827134583723	0.33463601683922
AT1G01360	520.523508223802	-0.657967329419883	0.241551748516916	-2.72391871911375	0.00645123812023983	0.0217947498853891
AT1G01370	78.4758009971212	-0.475503934486946	0.260949250597193	-1.82220846926648	0.0684233600050526	0.154294503236153
AT1G01380	52.5878065048679	-0.0562661138127673	0.302813978688981	-0.185810820413142	0.852593118842268	0.920346669258839
AT1G01390	109.109506953207	-0.653559691849273	0.408810149982895	-1.59868753717739	0.109890048181267	0.223032532931039
AT1G01400	0.0545624305445901	0	4.40735632396697	0	1	NA
AT1G01410	0.203149382669598	0.928140521375411	4.40735632396697	0.210588945651667	0.833208038971933	NA
AT1G01420	217.84538999845	-0.432321188482116	0.2789620772719	-1.54974895767191	0.121201782405878	0.240509617859258
AT1G01430	1181.30502627589	-0.913102639462633	0.156822850185027	-5.82251016599502	5.7970272398387e-09	7.03590040147107e-08
AT1G01440	424.746367569692	-0.843505033824684	0.235116853527112	-3.58759919236253	0.000333736785980229	0.0016329001749975
AT1G01448	186.465706267238	-0.0322538472695221	0.243532691520715	-0.132441550529074	0.89463505154979	0.948860533126091
AT1G01450	0	NA	NA	NA	NA	NA
AT1G01453	0.289126455063738	0	4.40735632395367	0	1	NA
AT1G01460	0.148638138871012	0.928140521375411	4.40735632396697	0.210588945651667	0.833208038971933	NA
AT1G01470	5548.24859500523	-0.766953409217584	0.435422465656206	-1.76140063894439	0.0781706169772051	0.171336978112677
AT1G01480	4.67540346292723	-1.43960708757034	1.22179314844961	-1.17827398966603	0.238687393715906	0.397538031218511
AT1G01490	766.285524956407	-0.872389709171709	0.275421840268168	-3.16746743222068	0.00153772932732025	0.00631312744153667
AT1G01500	780.708285062265	0.0262445043909561	0.23719722079115	0.110644232269754	0.911898470522792	0.959568147659833
AT1G01510	1090.48039770894	-0.192995672850656	0.16095750850597	-1.19904734263141	0.230509537502007	0.387518984182396
AT1G01520	217.475114158163	3.66039531797739	0.406210055929826	9.0110898648204	2.04018758925724e-19	1.0026203578029e-17
AT1G01530	2.84294406325405	-2.49328978085217	1.78108917091948	-1.39986802545378	0.161552842547302	0.298461120619228
AT1G01540	1372.58974685445	-0.432661982401451	0.197458880329465	-2.19114978105591	0.0284409553161342	0.0761589769840281
AT1G01550	3081.21802089689	-0.957258869696685	0.186184326075457	-5.14145787604445	2.72614778883994e-07	2.5142503693338e-06
AT1G01560	51.8153597528706	-2.51464978893092	0.604613217023072	-4.15910489240092	3.19497164943418e-05	0.000194952924122394
AT1G01570	58.0194120322528	0.418537325978293	0.617838428861143	0.677421970578587	0.498138262417165	0.665912331911493
AT1G01580	28.5412846543728	0.719367428133168	0.420764722318823	1.70966668538359	0.0873275265766858	0.186747461808477
AT1G01590	7.93379964593836	0.730498663671878	0.652411192860999	1.11969057500139	0.262845642774947	0.426927256204331
AT1G01600	259.388957158479	0.110617041498073	0.402783438965304	0.274631553328592	0.783599322051393	0.878582394610698
