genes	module
AT1G65810	0
AT5G61200	0
AT5G16240	0
AT5G10810	0
AT2G28426	0
AT3G15530	0
AT4G02200	0
AT1G72630	0
AT3G23580	0
AT4G32210	0
AT5G05380	0
AT2G19340	0
AT2G46610	0
AT1G72770	0
AT1G21210	0
AT1G49790	0
AT1G01190	0
AT1G08830	0
AT1G45616	0
AT5G60022	0
AT1G52700	0
AT2G31141	0
AT1G02020	0
AT2G46530	0
AT5G60630	0
AT4G14440	0
AT3G28140	0
AT4G26950	0
AT5G61340	0
AT3G03855	0
AT3G18070	0
AT4G16770	0
AT4G02810	0
AT3G16470	0
AT5G45280	0
AT4G32208	0
AT1G20620	0
ATCG00590	0
AT4G12735	0
AT1G80610	0
AT1G79520	0
AT3G61060	0
AT4G28170	0
AT4G15450	0
AT3G23610	0
AT4G01120	0
AT3G05880	0
AT2G22810	0
AT5G63390	0
AT2G37530	0
AT3G01430	0
AT5G16160	0
AT5G43430	0
AT1G33930	0
AT4G23895	0
AT5G51080	0
AT5G15760	0
AT5G11410	0
AT3G51970	0
AT1G16635	0
AT3G09470	0
AT1G74890	0
AT3G16910	0
AT3G01472	0
AT3G29100	0
AT1G72800	0
AT2G21540	0
AT4G18170	0
AT5G43760	0
AT1G02750	0
AT4G27900	0
AT4G36470	0
AT2G32770	0
AT5G38780	0
AT1G60730	0
AT1G27285	0
AT1G73390	0
AT5G05870	0
AT4G01330	0
AT1G69480	0
AT3G58070	0
AT5G62940	0
AT1G72720	0
AT3G58820	0
AT4G05000	0
AT1G52720	0
AT2G26170	0
AT3G17950	0
AT1G68410	0
AT1G08510	0
AT2G11300	0
AT5G26731	0
AT1G72530	0
AT4G01500	0
AT1G10310	0
AT4G04700	0
AT4G32295	0
AT5G56380	0
AT5G06510	0
AT3G09910	0
AT5G60280	0
AT3G15770	0
AT4G01550	0
AT3G45330	0
AT2G16710	0
AT2G23170	0
AT5G28145	0
AT2G20830	0
AT4G27260	0
AT1G65930	0
AT5G11920	0
AT5G01350	0
AT3G04485	0
AT5G46220	0
AT2G42300	0
AT4G13340	0
AT5G10670	0
AT4G16680	0
AT4G34230	0
AT1G02340	0
AT3G61070	0
AT1G29640	0
AT3G27710	0
AT5G46590	0
AT1G79910	0
AT5G09540	0
AT5G53280	0
AT1G06570	0
AT5G01750	0
AT5G24520	0
AT5G02950	0
AT2G26110	0
AT4G16190	0
AT1G22250	0
AT4G08170	0
AT4G21500	0
AT5G22060	0
AT2G33050	0
AT5G08380	0
AT4G36910	0
AT5G49480	0
AT5G20570	0
AT3G61120	0
AT3G48115	0
AT5G22290	0
AT2G11140	0
AT4G01070	0
AT3G27220	0
AT2G17740	0
AT1G70790	0
AT2G40790	0
AT3G29075	0
AT1G01060	0
AT5G63790	0
AT2G01150	0
AT4G05130	0
AT3G60180	0
AT5G15500	0
AT1G08970	0
AT5G19030	0
AT5G26980	0
AT3G14850	0
AT3G07460	0
AT2G36470	0
AT5G16830	0
AT1G23950	0
AT5G48780	0
AT5G11680	0
AT1G72340	0
AT5G10745	0
AT5G03770	0
AT5G40180	0
AT1G08630	0
AT1G71750	0
AT1G77710	0
AT4G29310	0
AT1G61430	0
AT4G18020	0
AT4G32175	0
AT5G67050	0
AT5G64890	0
AT1G34110	0
AT1G02850	0
AT3G62420	0
AT4G21990	0
AT1G31340	0
AT1G02816	0
AT2G07180	0
AT5G44010	0
AT3G16565	0
AT2G42730	0
AT1G05630	0
AT1G58561	0
AT4G27350	0
AT2G47480	0
AT4G21510	0
AT2G47930	0
AT2G25737	0
AT1G68300	0
AT5G10600	0
AT4G33150	0
AT4G39360	0
AT1G07900	0
AT2G45420	0
AT4G01650	0
AT5G56590	0
AT5G04000	0
AT2G17280	0
AT4G23040	0
AT1G01590	0
AT2G39725	0
AT3G61190	0
AT4G26582	0
AT5G53750	0
AT3G52560	0
AT4G06598	0
AT1G54100	0
AT5G44490	0
AT1G77960	0
AT3G56720	0
AT1G69920	0
AT4G32680	0
AT3G05520	0
