gene_id	Count_CT	Count_HL	FoldChange	Gene_description
AT1G01010	65.4790467035	114.6742696833	1.75131244965377	NAC domain containing protein 1;(source:Araport11)
AT1G01020	330.6411234367	463.1636160487	1.40080462839757	ARV1 family protein;(source:Araport11)
AT1G01030	26.6432553883	84.7691399695	3.1816359800659	AP2/B3-like transcriptional factor family protein;(source:Araport11)
AT1G01100	4683.4383762734	9747.4900902962	2.08126792906631	60S acidic ribosomal protein family;(source:Araport11)
AT1G01210	281.5432539565	874.720701268	3.106878566528	DNA-directed RNA polymerase, subunit M, archaeal;(source:Araport11)
AT1G01250	111.6755397033	290.6889310656	2.6029776246249	encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.
AT1G01320	12281.9744184528	25781.4079769363	2.09912568602989	Encodes REDUCED CHLOROPLAST COVERAGE 1 (REC1). Located in the nucleus and cytosol. Contributes to establishing the size of the chloroplast compartment.
AT1G01520	7.9260978745	100.8266609049	12.7208447966914	RVE3 is one of eleven homologous MYB-like transcription factors in Arabidopsis and a member of the RVE8 clade. Plays a minor role in clock regulation.
AT1G01715	65.5645621314	122.6742317764	1.87104478072384	hypothetical protein;(source:Araport11)
AT1G01720	160.1606701643	694.289965465	4.33495916789538	Belongs to a large family of putative transcriptional activators with NAC domain. Transcript level increases in response to wounding and abscisic acid. ATAF1 attentuates ABA signaling and sythesis. Mutants are hyposensitive to ABA. The mRNA is cell-to-cell mobile.
AT1G01810	6.0331694687	29.3931933259	4.87193231988451	hypothetical protein;(source:Araport11)
AT1G01920	408.5830463872	648.7270667527	1.58774837206026	SET domain-containing protein;(source:Araport11)
AT1G01930	330.218762572	512.6827192678	1.55255478300091	zinc finger protein-like protein;(source:Araport11)
AT1G02050	142.8503704238	219.4269522169	1.53606148563645	Chalcone and stilbene synthase family protein;(source:Araport11)
AT1G02110	459.8421844289	677.6916993798	1.47374843441442	bZIP domain class transcription factor (DUF630 and DUF632);(source:Araport11)
AT1G02140	2490.4260479848	4048.0861037402	1.62545926911414	Encodes a homologue of the exon junction complex (EJC) component MAGO that participates in intron-mediated enhancement of gene expression.
AT1G02220	39.9965661554	81.62220915	2.04073041752811	NAC domain containing protein 3;(source:Araport11)
AT1G02280	2487.3795017421	4463.8921580666	1.79461644471228	Encodes a GTP-binding GTP-ase. Component of the chloroplast protein import machinery. Required for import of POR B into plastids. Toc33 phosphorylation may not play an important role in vivo.
AT1G02370	266.2908248786	573.0472531666	2.15196018649102	Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)
AT1G02405	2.2206608134	13.1268755029	5.91124741954705	proline-rich family protein;(source:Araport11)
AT1G02460	88.6861044888	349.2006121422	3.93748957804658	Pectin lyase-like superfamily protein;(source:Araport11)
AT1G02560	9606.4383700332	13322.2558924676	1.38680490930184	One of several nuclear-encoded ClpPs (caseinolytic protease). Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). The name reflects nomenclature described in Adam et. al (2001). The mRNA is cell-to-cell mobile.
AT1G02780	15316.0601862192	30750.6570300641	2.00773937005891	Ribosomal protein L19e family protein;(source:Araport11)
AT1G02820	166.6836748786	1326.5109662591	7.95825366356503	Late embryogenesis abundant 3 (LEA3) family protein;(source:Araport11)
AT1G02830	0.2814402791	20.0181109377	71.1273844728787	Ribosomal L22e protein family;(source:Araport11)
AT1G02850	53.0845612314	204.6734772533	3.85561211217535	beta glucosidase 11;(source:Araport11)
AT1G02870	416.468991368	1349.8978839242	3.24129265780415	nucleolar-like protein;(source:Araport11)
AT1G02880	457.5511591457	783.9062725625	1.71326475060437	Encodes a thiamine pyrophosphokinase capable of producing thiamine pyrophosphate from free thiamine.
AT1G02930	823.9232324427	4078.7211477934	4.95036550395738	Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G02940	1.9392205344	34.2984156726	17.6867019836978	Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G02980	0.2847136599	5.1510876045	18.092168834854	encodes an Arabidopsis cullin
AT1G03040	931.8074632745	1265.7197113762	1.35834897364772	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11)
AT1G03055	131.9974667712	420.0023251353	3.18189686066717	Encodes the ortholog of rice D27.  It is plastid-localized and is required for the inhibition of secondary bud outgrowth and operates on a nonmobile precursor upstream of MAX1 in the SL biosynthesis pathway.
